CustomerID,CustomerGender,CustomerAge,CustomerCity,AnnualIncome,CreditScore,SpendingScore
1001,Male,49,Bengaluru,527547.5885,653,78
1002,Male,59,Bengaluru,207143.1976,630,63
1003,Female,54,Delhi,164423.8457,555,69
1004,Female,42,Bengaluru,56220.36443,699,30
1005,Female,30,Bengaluru,256194.3619,793,6
1006,Female,38,Chennai,475324.8903,635,97
1007,Female,45,Chennai,186352.3482,881,2
1008,Female,23,Mumbai,414233.1569,852,77
1009,Male,59,Chennai,97263.51748,708,22
1010,Female,48,Kolkata,179271.2332,669,97
1011,Male,55,Bengaluru,194016.5771,618,13
1012,Female,73,Bengaluru,227536.1384,614,62
1013,Female,54,Delhi,384549.196,711,64
1014,Female,34,Mumbai,441207.6896,629,29
1015,Male,54,Bengaluru,195955.9211,764,53
1016,Male,53,Kolkata,342386.7743,880,36
1017,Female,23,Bengaluru,12396.06128,729,18
1018,Male,30,Mumbai,243054.5171,803,49
1019,Male,37,Mumbai,353525.8767,817,75
1020,Female,52,Kolkata,146957.5537,774,84
1021,Male,39,Chennai,217461.907,672,87
1022,Male,38,Bengaluru,466647.6548,691,37
1023,Female,71,Kolkata,36359.20628,669,87
1024,Male,31,Mumbai,227040.4915,555,64
1025,Female,42,Bengaluru,183013.7351,778,82
1026,Male,65,Chennai,496142.1332,623,82
1027,Female,65,Kolkata,304101.4516,782,59
1028,Male,33,Bengaluru,15305.84287,588,57
1029,Female,29,Delhi,90898.14293,684,27
1030,Female,24,Chennai,372800.2429,698,35
1031,Male,59,Bengaluru,186025.496,562,15
1032,Female,40,Bengaluru,424172.7786,774,84
1033,Male,52,Chennai,316975.4388,777,97
1034,Male,47,Kolkata,245271.891,769,4
1035,Female,66,Chennai,54756.27976,755,48
1036,Female,62,Delhi,480722.9923,789,30
1037,Female,73,Mumbai,243050.2953,575,93
1038,Female,23,Mumbai,354943.3271,850,77
1039,Female,45,Mumbai,105283.4509,715,97
1040,Female,43,Mumbai,266522.7503,639,78
1041,Female,21,Mumbai,248583.777,817,4
1042,Male,45,Bengaluru,35051.23859,731,78
1043,Male,54,Bengaluru,279363.0453,704,39
1044,Female,22,Kolkata,498781.9307,712,11
1045,Female,26,Delhi,288846.6029,713,97
1046,Female,72,Kolkata,348408.8613,874,34
1047,Female,29,Bengaluru,516995.9529,751,100
1048,Female,65,Mumbai,54666.06526,761,46
1049,Female,34,Chennai,69809.65753,633,98
1050,Female,26,Chennai,371636.6915,632,48
1051,Female,66,Kolkata,238964.9748,763,62
1052,Male,50,Bengaluru,299609.0836,701,42
1053,Female,33,Kolkata,361244.6459,784,37
1054,Male,47,Mumbai,187182.7663,854,36
1055,Female,59,Kolkata,513210.2881,692,71
1056,Male,52,Delhi,258490.1227,751,99
1057,Female,55,Bengaluru,443558.7535,648,41
1058,Male,74,Bengaluru,121992.2184,865,88
1059,Female,32,Mumbai,129229.7353,863,25
1060,Male,31,Bengaluru,351473.4476,622,8
1061,Male,25,Mumbai,365803.058,817,52
1062,Male,75,Delhi,42277.72636,868,20
1063,Female,39,Bengaluru,675461.7357,849,59
1064,Female,46,Bengaluru,139008.5462,565,37
1065,Male,29,Bengaluru,255913.6516,665,47
1066,Male,34,Chennai,625214.1659,632,14
1067,Female,54,Mumbai,300855.7861,670,96
1068,Female,36,Delhi,61533.99547,736,40
1069,Male,52,Chennai,619650.7261,687,48
1070,Female,28,Mumbai,24160.45218,561,70
1071,Male,18,Bengaluru,119798.585,892,37
1072,Female,45,Bengaluru,116425.7192,724,12
1073,Female,48,Kolkata,235753.1848,583,100
1074,Female,50,Mumbai,432140.6847,760,18
